district,year,ratio
23,2011,6.82
23,2012,14.29
24,1982,50
24,1983,0
24,1984,11.11
24,1985,0
24,1986,40
24,1987,0
24,1988,7.14
24,1989,3.66
24,1990,13.25
24,1991,5.77
24,1992,8.22
24,1993,5.52
24,1994,4.61
24,1995,3.26
24,1996,4.92
24,1997,5.26
24,1998,2.58
24,1999,5
24,2000,1.24
24,2001,4.21
24,2002,4
24,2003,3.03
24,2004,2.04
24,2005,3.97
24,2006,5
24,2007,3.12
24,2008,1.2
24,2009,0
24,2010,0
24,2011,3.03
24,2012,11.76
24,2013,7.69
24,2014,0
24,2015,12.5
24,2016,0
25,1982,0
25,1983,0
25,1984,12.5
25,1985,0
25,1986,33.33
25,1987,0
25,1988,45.45
25,1989,12.16
25,1990,6.67
25,1991,9.04
25,1992,6.07
25,1993,7.86
25,1994,4.4
25,1995,4.52
25,1996,4.63
25,1997,4.3
25,1998,10.26
25,1999,5.43
25,2000,3.5
25,2001,1.21
25,2002,7.03
25,2003,3.93
25,2004,6.04
25,2005,9.68
25,2006,0.65
25,2007,3.05
25,2008,3.07
25,2009,14.74
25,2010,2
25,2011,3.45
25,2012,9.09
25,2013,1.72
25,2014,3.57
25,2015,0
25,2016,0
