gender,race,rank,interactions,outcomes,misconducts,violences,primary_cause,total_settlement
M,Hispanic,Police Officer,{Home invasion},"","{Damage to property,Stolen property,Excessive force,Illegal search/seizure,False arrest or report}",{Physical force},Illegal search/seizure,62000.00
M,White,Police Officer,{Stop and frisk},{Drug charges},"{Threats/intimidation,Excessive force,Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,35400.00
M,White,Police Officer,{Stop and frisk},{Drug charges},"{Threats/intimidation,Excessive force,Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,35400.00
M,White,Police Officer,{Stop and frisk},{Drug charges},"{Threats/intimidation,Excessive force,Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,35400.00
M,Hispanic,Police Officer,{Stop and frisk},{Drug charges},"{Threats/intimidation,Excessive force,Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,35400.00
M,White,Sergeant of Police,{Stop and frisk},{Drug charges},"{Threats/intimidation,Excessive force,Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,35400.00
M,White,Police Officer,{Stop and frisk},{Drug charges},"{Threats/intimidation,Excessive force,Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,35400.00
F,Hispanic,Sergeant of Police,{Home invasion},"","{Damage to property,Illegal search/seizure}","",Illegal search/seizure,40000.00
F,Hispanic,Police Officer,{Traffic stop},"{Extended detention,Weapons charges}","{Destroy/conceal/fabricate evidence,False arrest or report}","",Extended detention,60000.00
F,Asian/Pacific,Police Officer,{Traffic stop},"{Extended detention,Weapons charges}","{Destroy/conceal/fabricate evidence,False arrest or report}","",Extended detention,60000.00
M,White,Police Officer Assigned Evidence Technician,"",{Resisting or obstructing arrest charges},"{Excessive force,False arrest or report}","",Excessive force/minor,7000.00
M,Black,Police Officer,"",{Resisting or obstructing arrest charges},"{Excessive force,False arrest or report}","",Excessive force/minor,7000.00
M,White,Lieutenant of Police,"","{Hospitalized,Other charges filed}",{False arrest or report},"",False arrest,7500.00
M,White,Police Officer,"","{Hospitalized,Other charges filed}",{False arrest or report},"",False arrest,7500.00
M,White,Police Officer,"","{Hospitalized,Other charges filed}",{False arrest or report},"",False arrest,7500.00
M,Hispanic,Police Officer,"","{Assault or battery to an officer charges,Resisting or obstructing arrest charges}","{False arrest or report,Excessive force,Illegal search/seizure}",{Physical force},False arrest,59000.00
F,Black,Police Officer,"","{Assault or battery to an officer charges,Resisting or obstructing arrest charges}","{False arrest or report,Excessive force,Illegal search/seizure}",{Physical force},False arrest,59000.00
M,White,Sergeant of Police,{Protest},{Other charges filed},"{Legal access denied,Excessive force,False arrest or report}","",False arrest,1135000.00
F,White,Police Officer as Detective,{Protest},{Other charges filed},"{Legal access denied,Excessive force,False arrest or report}","",False arrest,1135000.00
M,White,Superintendent of Police,{Protest},{Other charges filed},"{Legal access denied,Excessive force,False arrest or report}","",False arrest,1135000.00
M,Black,Police Officer,{Protest},{Other charges filed},"{Legal access denied,Excessive force,False arrest or report}","",False arrest,1135000.00
M,White,Police Officer,{Protest},{Other charges filed},"{Legal access denied,Excessive force,False arrest or report}","",False arrest,1135000.00
M,Black,Superintendent of Police,{Protest},{Other charges filed},"{Legal access denied,Excessive force,False arrest or report}","",False arrest,1135000.00
M,White,Deputy Superintendent,{Protest},{Other charges filed},"{Legal access denied,Excessive force,False arrest or report}","",False arrest,1135000.00
M,Hispanic,Police Officer,{Protest},{Other charges filed},"{Legal access denied,Excessive force,False arrest or report}","",False arrest,1135000.00
M,Black,Police Officer,{Home invasion},{Other charges filed},{Excessive force},"{Taser,Physical force}",Excessive force/serious,3500.00
M,White,Police Officer as Detective,"","{Extended detention,Other charges filed}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Extended detention,90000.00
M,White,Police Officer as Detective,"","{Extended detention,Other charges filed}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Extended detention,90000.00
M,White,Police Officer as Detective,"","{Extended detention,Other charges filed}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Extended detention,90000.00
